contigName	contigLen	totalAvgDepth	D3DNA_map_sorted.bam	D3DNA_map_sorted.bam-var
k105_152039	1755	11.8804	11.8804	14.4035
k105_76020	2775	21.6575	21.6575	45.4676
k105_152041	2370	11.7878	11.7878	8.70363
k105_86880	1395	13.8723	13.8723	16.351
k105_21727	3365	19.7617	19.7617	31.5171
k105_86882	3876	41.598	41.598	93.1495
k105_54302	1215	12.4488	12.4488	15.663
k105_54306	1008	11.3718	11.3718	13.459
k105_119472	3256	17.9569	17.9569	17.4821
k105_97743	1321	10.3143	10.3143	8.00884
k105_97745	1358	31.9603	31.9603	995.947
k105_76027	4943	23.8752	23.8754	62.5735
k105_130320	1202	27.2567	27.2567	79.881
k105_152051	1030	15.2398	15.2398	10.0892
k105_21736	1866	13.0495	13.0495	32.3818
k105_10860	1261	39.8317	39.8317	87.4877
k105_21738	1412	10.7448	10.7448	8.36146
k105_10861	1620	12.4143	12.4143	19.4491
k105_141181	1757	14.6982	14.6982	15.2707
k105_162901	1868	29.1618	29.1618	82.2454
k105_86886	3071	25.9754	25.9754	66.7857
k105_86887	2730	11.9783	11.9783	16.0849
k105_54325	4877	12.2987	12.2989	14.8947
k105_76031	1231	31.9574	31.9574	66.1981
k105_10864	3479	16.006	16.006	28.0406
k105_32583	4529	24.0306	24.0306	28.2028
k105_108601	1547	11.5662	11.5662	17.9364
k105_32589	1331	11.0601	11.0601	13.2142
k105_108602	2986	22.8015	22.8015	64.5826
k105_65168	1273	16.4346	16.4346	14.1302
k105_21746	1364	13.3427	13.3427	15.4851
k105_152057	3255	24.6	24.6	99.393
k105_152058	1352	15.1456	15.1456	31.2519
k105_21750	1281	37.9116	37.9116	117.553
k105_141190	3876	13.6704	13.6704	15.0716
k105_97753	1296	28.8403	28.8403	18.0784
k105_162910	1885	42.8427	42.8427	101.965
k105_97756	1114	12.195	12.195	27.9079
k105_162912	1506	9.60914	9.60914	9.88252
k105_86888	1100	11.1242	11.1242	17.2132
k105_43442	1115	8.7171	8.7171	2.95828
k105_86894	1616	12.309	12.309	13.2485
k105_86897	1129	14.1931	14.1931	28.8267
k105_76044	3291	15.6488	15.6488	24.1605
k105_10867	3820	17.4319	17.4322	31.7635
k105_10872	1154	18.8745	18.8745	37.7809
k105_108603	2793	21.7658	21.7658	30.5979
k105_108604	1710	29.7244	29.7244	138.69
k105_108609	1543	20.4666	20.4666	67.239
k105_119491	1277	8.46939	8.46939	4.89758
k105_119493	1130	8.20204	8.20204	24.6946
k105_119494	2991	18.9215	18.9215	59.9729
k105_65172	1729	10.0646	10.0646	8.52563
